circuit name,latitude,longitude,fastest lap speed
Circuit Gilles Villeneuve,45.5,-73.5228,199.913
Circuit Gilles Villeneuve,45.5,-73.5228,200.091
Circuit Gilles Villeneuve,45.5,-73.5228,201.336
Circuit Gilles Villeneuve,45.5,-73.5228,197.847
Circuit Gilles Villeneuve,45.5,-73.5228,200.759
Circuit Gilles Villeneuve,45.5,-73.5228,199.689
Circuit Gilles Villeneuve,45.5,-73.5228,198.563
Circuit Gilles Villeneuve,45.5,-73.5228,199.273
Circuit Gilles Villeneuve,45.5,-73.5228,200.697
Circuit Gilles Villeneuve,45.5,-73.5228,198.129
Circuit Gilles Villeneuve,45.5,-73.5228,202.871
Circuit Gilles Villeneuve,45.5,-73.5228,202.559
Circuit Gilles Villeneuve,45.5,-73.5228,194.624
Circuit de Nevers Magny-Cours,46.8642,3.16361,206.956
Circuit de Nevers Magny-Cours,46.8642,3.16361,207.224
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.721
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.870
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.768
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.879
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.218
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.525
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.060
Circuit de Nevers Magny-Cours,46.8642,3.16361,205.022
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.013
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.212
Circuit de Nevers Magny-Cours,46.8642,3.16361,204.328
Circuit de Nevers Magny-Cours,46.8642,3.16361,203.665
Circuit de Nevers Magny-Cours,46.8642,3.16361,203.443
Circuit de Nevers Magny-Cours,46.8642,3.16361,202.776
Circuit de Nevers Magny-Cours,46.8642,3.16361,203.022
Circuit de Nevers Magny-Cours,46.8642,3.16361,202.141
Circuit de Nevers Magny-Cours,46.8642,3.16361,202.385
Circuit de Nevers Magny-Cours,46.8642,3.16361,196.345
Silverstone Circuit,52.0786,-1.01694,199.398
Silverstone Circuit,52.0786,-1.01694,199.609
Silverstone Circuit,52.0786,-1.01694,198.183
Silverstone Circuit,52.0786,-1.01694,200.842
Silverstone Circuit,52.0786,-1.01694,198.728
Silverstone Circuit,52.0786,-1.01694,198.722
Silverstone Circuit,52.0786,-1.01694,197.292
Silverstone Circuit,52.0786,-1.01694,196.310
Silverstone Circuit,52.0786,-1.01694,195.234
Silverstone Circuit,52.0786,-1.01694,199.109
Silverstone Circuit,52.0786,-1.01694,198.224
Silverstone Circuit,52.0786,-1.01694,195.619
Silverstone Circuit,52.0786,-1.01694,198.458
Silverstone Circuit,52.0786,-1.01694,197.859
Silverstone Circuit,52.0786,-1.01694,198.205
Silverstone Circuit,52.0786,-1.01694,198.573
Silverstone Circuit,52.0786,-1.01694,194.960
Silverstone Circuit,52.0786,-1.01694,188.545
Hockenheimring,49.3278,8.56583,216.552
Hockenheimring,49.3278,8.56583,214.099
Hockenheimring,49.3278,8.56583,215.241
Hockenheimring,49.3278,8.56583,216.700
Hockenheimring,49.3278,8.56583,215.261
Hockenheimring,49.3278,8.56583,215.692
Hockenheimring,49.3278,8.56583,214.937
Hockenheimring,49.3278,8.56583,214.484
Hockenheimring,49.3278,8.56583,213.785
Hockenheimring,49.3278,8.56583,212.799
Hockenheimring,49.3278,8.56583,213.530
Hockenheimring,49.3278,8.56583,213.935
Hockenheimring,49.3278,8.56583,213.866
Hockenheimring,49.3278,8.56583,211.947
Hockenheimring,49.3278,8.56583,211.408
Hockenheimring,49.3278,8.56583,210.546
Hockenheimring,49.3278,8.56583,212.097
Hockenheimring,49.3278,8.56583,211.145
Hockenheimring,49.3278,8.56583,213.278
Hockenheimring,49.3278,8.56583,214.652
Hungaroring,47.5789,19.2486,192.917
Hungaroring,47.5789,19.2486,193.111
Hungaroring,47.5789,19.2486,194.243
Hungaroring,47.5789,19.2486,192.823
Hungaroring,47.5789,19.2486,193.533
Hungaroring,47.5789,19.2486,193.428
Hungaroring,47.5789,19.2486,193.189
Hungaroring,47.5789,19.2486,192.475
Hungaroring,47.5789,19.2486,192.043
Hungaroring,47.5789,19.2486,191.908
Hungaroring,47.5789,19.2486,190.634
Hungaroring,47.5789,19.2486,191.409
Hungaroring,47.5789,19.2486,189.319
Hungaroring,47.5789,19.2486,191.409
Hungaroring,47.5789,19.2486,190.844
Hungaroring,47.5789,19.2486,191.319
Hungaroring,47.5789,19.2486,193.861
Hungaroring,47.5789,19.2486,189.516
Hungaroring,47.5789,19.2486,188.542
Hungaroring,47.5789,19.2486,187.262
Valencia Street Circuit,39.4589,-0.331667,197.637
Valencia Street Circuit,39.4589,-0.331667,197.285
Valencia Street Circuit,39.4589,-0.331667,196.399
Valencia Street Circuit,39.4589,-0.331667,196.831
Valencia Street Circuit,39.4589,-0.331667,195.755
Valencia Street Circuit,39.4589,-0.331667,196.093
Valencia Street Circuit,39.4589,-0.331667,195.995
Valencia Street Circuit,39.4589,-0.331667,195.912
Valencia Street Circuit,39.4589,-0.331667,196.013
Valencia Street Circuit,39.4589,-0.331667,195.790
Valencia Street Circuit,39.4589,-0.331667,195.977
Valencia Street Circuit,39.4589,-0.331667,194.570
